URLLength,Domain,DomainLength,IsDomainIP,TLD,TLDLength,NoOfSubDomain,HasObfuscation,NoOfLettersInURL,NoOfDegitsInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,URLTitleMatchScore,IsResponsive,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasHiddenFields,Bank,Pay,Crypto,label
29,p9suxlhgq.org,29,0,,2,0,0,56,3,1,0,0,4,0,2,21583,1,100,0,0,0,0,0,1,0,1,0,0,1
14,ha0u4y126i.biz,39,0,,2,1,0,0,11,0,0,0,2,0,2,23,1,21,0,1,1,0,0,1,1,1,0,0,1
56,nda24ex055j.biz,22,0,,2,1,0,33,3,1,0,0,6,1,2,36631,1,93,0,0,0,8,0,1,1,0,0,0,0
43,8jtxk5j7ga.net,24,0,,3,1,0,0,22,0,0,0,1,1,2254,85084,1,19,1,1,1,8,0,0,0,0,0,0,0
62,yb4o4euo.info,35,0,,3,1,0,0,0,0,0,0,5,1,2,188861,1,48,1,0,0,0,0,0,1,0,1,0,0
14,ym0jg23kds7oc9o.info,27,0,,2,1,0,0,12,0,0,0,2,0,2677,23,1,70,1,0,0,0,0,1,1,0,0,0,0
59,5jgpqyn.org,28,0,,3,1,0,61,5,0,0,0,1,1,74,23,1,93,0,0,0,1,0,0,0,0,0,0,1
14,df5wkf.com,12,0,,2,2,0,0,8,0,0,0,3,0,4925,23,1,12,1,1,1,1,0,0,0,0,0,0,0
51,5y7w3suo3rq.xyz,9,0,,3,0,0,28,15,0,0,0,5,1,2,23,1,73,0,1,4,0,0,0,0,0,0,0,1
14,az4pur30d5nra.info,11,0,,2,1,0,5,7,0,0,0,1,1,3280,23,0,0,1,1,1,0,0,0,0,0,0,0,0
36,kj7jkup3dl.org,20,0,,3,0,0,22,17,0,0,0,1,0,2,23,1,100,0,1,0,1,0,0,1,1,0,0,1
14,vuc41kgvpesi.org,24,0,,2,0,0,32,7,0,0,0,1,0,531,23,1,33,1,1,3,3,0,0,1,0,0,0,0
38,7r31bz2.biz,38,0,,3,1,0,18,0,0,0,0,7,1,1625,23,1,35,1,0,1,3,0,1,1,0,0,0,0
34,1607svehckz2bje.org,33,0,,3,1,0,22,11,0,0,0,9,1,6106,23,1,0,0,0,1,2,0,0,1,0,0,0,0
14,q65xfz7fwcpqe.info,26,0,,3,1,0,24,0,1,0,0,1,1,2,176403,1,100,0,0,2,7,0,1,1,0,0,0,0
93,3akl4.biz,10,0,,3,0,0,36,6,0,0,0,3,0,391,154110,1,34,1,0,1,2,0,0,0,0,1,0,1
56,5c39h6av2i1how.com,18,0,,2,0,0,5,0,0,0,0,7,1,4703,23,1,100,0,0,0,0,0,0,0,0,0,0,1
14,dzn1t4h4d7lbd.info,6,0,,2,1,0,20,11,0,0,0,1,1,233,23,1,65,0,0,0,3,1,0,0,0,0,0,0
14,iyv1a4o.biz,21,0,,2,0,0,32,0,0,0,0,1,1,1543,23,1,100,1,1,0,0,0,1,1,0,0,0,1
26,o9pvvurjwa0.org,23,0,,2,1,0,0,10,0,0,0,1,1,2666,23,0,39,0,1,0,2,0,0,0,0,0,0,1
15,e8ptpu011dy.xyz,8,0,,2,2,0,13,0,0,0,0,2,0,2,234946,1,9,1,1,3,0,1,0,0,0,1,0,1
31,k9pi77nd.org,15,0,,2,1,0,14,0,0,0,0,2,1,1261,178978,1,0,1,0,0,1,0,0,0,0,0,0,0
14,foxrhe0u0q78.xyz,12,0,,3,0,0,47,13,0,0,0,5,1,2,23,1,100,1,0,1,0,0,1,0,0,0,0,1
92,pgdop2racx.xyz,18,0,,3,1,0,0,10,0,0,0,1,1,6579,107949,1,55,0,0,0,2,0,0,1,1,0,0,1
14,ax5kngp7o31e1.org,31,0,,2,0,0,77,0,0,0,0,5,1,3142,23,1,37,0,1,0,3,0,0,0,0,1,0,0
75,i97lic5kp1o9vf.xyz,8,0,,2,0,0,15,5,0,0,0,4,1,1354,2332,0,100,1,1,0,3,0,1,0,0,0,0,1
29,t9tp475uc.com,14,0,,2,1,0,28,2,0,0,0,2,0,4152,261861,0,42,0,1,1,3,0,1,1,0,1,0,1
117,6vba26zqnn.net,25,0,,2,2,0,31,0,0,0,0,6,1,479,23,1,9,0,0,0,4,0,0,0,0,0,0,0
64,dnfd8.info,9,0,,3,1,0,4,9,1,0,0,1,1,2,23,1,40,0,1,0,2,0,0,0,0,0,0,1
70,paltapoaq8.net,13,0,,2,1,0,34,0,0,0,0,1,1,2236,156146,1,15,1,0,0,4,0,0,0,0,0,0,0
75,hc9bdqoamfxzizz.biz,16,0,,2,0,0,8,0,0,0,0,1,0,2,271273,1,100,1,1,2,8,1,0,1,0,1,0,1
37,pn3m0cl547rv.net,30,0,,3,1,0,10,0,0,0,0,4,1,2861,112430,1,100,1,1,0,2,0,0,1,0,0,0,1
40,kl9x2n0ed.net,20,0,,3,1,0,31,2,0,0,0,2,1,3797,23,1,36,0,0,1,0,0,1,0,0,0,0,1
30,b6s6rb0h.net,9,0,,2,1,0,0,3,0,0,0,3,1,563,23,1,35,0,1,2,0,0,1,0,1,0,0,1
47,yl9gwy5g8.net,22,0,,3,1,0,9,0,0,0,0,6,1,541,23,1,0,1,1,0,6,0,1,1,0,1,0,1
37,oe52h4.org,21,0,,3,0,0,39,9,0,0,0,2,0,1315,23,1,0,1,1,0,1,0,1,0,0,1,0,1
47,6h26axc96t.info,15,0,,3,1,0,51,2,0,0,0,1,1,1553,108653,1,63,1,1,0,15,0,1,1,0,0,0,1
14,5n06a.org,20,0,,2,0,0,32,0,0,0,0,4,1,3465,95180,1,53,0,1,1,3,0,1,1,0,0,0,0
20,j5m4t8d2zt1q.biz,20,0,,2,0,0,45,3,0,0,0,1,1,2,23,0,18,1,1,1,0,1,0,1,1,0,0,1
53,603ki.org,35,0,,2,0,0,47,0,0,0,0,1,0,2931,5820,1,64,0,1,0,4,0,1,0,0,0,0,1
35,aig2srsj7.org,18,0,,3,1,0,52,0,0,0,0,3,1,3450,23,1,100,1,1,1,5,0,1,1,0,1,0,0
51,91h4n1.com,24,0,,2,1,0,45,2,0,0,0,1,1,802,222593,0,17,0,0,0,3,0,0,1,0,0,0,1
57,vjzmpt1v18zhv.biz,36,0,,2,1,0,16,2,0,0,0,4,1,2,23,1,24,1,0,0,0,0,0,0,0,0,0,1
65,k00bob9bws9o858.info,43,0,,2,0,0,0,9,0,0,0,2,0,2,55683,1,0,0,0,0,6,0,0,0,0,0,0,1
51,wwrfm8jq9.org,20,0,,3,1,0,47,2,0,0,0,1,1,452,23,0,40,1,0,2,0,0,1,0,0,1,0,1
27,jd9n27vx.biz,4,0,,2,0,0,18,4,0,0,0,4,0,2828,119281,1,0,1,0,0,0,1,1,1,0,0,0,0
14,5jhambuphd.xyz,15,0,,2,2,0,0,0,0,0,0,1,1,2,23,1,46,1,0,0,0,0,0,0,0,0,0,1
74,facmq02us3pt.biz,16,0,,2,0,0,0,0,0,0,0,1,1,3653,110719,0,100,0,0,0,0,0,1,0,1,0,0,1
14,e38izv2jyolm9.org,13,0,,2,0,0,50,15,0,0,0,1,1,2984,23,1,22,1,0,1,0,0,1,1,0,0,0,1
35,0gd2p6.net,22,0,,2,2,0,17,10,0,0,0,2,1,2,23,1,72,1,0,2,0,1,1,1,0,0,0,0
89,l9ns3fm.info,16,0,,2,1,0,0,5,0,0,1,2,1,6219,301139,1,77,1,1,0,0,0,1,0,0,0,0,0
14,rjkycdpjeat.net,13,0,,3,1,0,4,13,0,0,0,4,1,7750,23,1,36,0,1,0,0,0,0,1,0,1,0,1
25,3toz7.net,22,0,,3,1,0,0,14,0,0,0,5,1,8841,147817,1,0,0,0,0,2,0,0,0,0,0,0,1
39,1s1dzvmc3dyk8se.biz,21,0,,2,2,0,10,0,0,0,0,1,0,4198,193247,1,80,1,0,0,0,0,0,1,0,0,0,0
14,p4visny8h.com,26,0,,2,1,0,67,0,0,0,0,3,1,2,23,1,0,1,1,1,3,0,1,0,0,1,0,1
14,dy9rgljc4j.com,13,0,,3,1,0,61,19,0,0,0,1,1,5274,23,1,65,1,0,0,4,0,0,1,0,1,0,0
77,xctklkcc7wdjzn3.xyz,22,0,,2,1,0,76,0,0,0,0,4,1,1326,23,1,100,0,0,0,0,0,0,1,0,1,0,1
50,c3o0lfdku.com,41,0,,2,1,0,7,20,0,0,0,3,1,2270,118429,1,25,0,0,0,0,0,1,0,0,0,0,1
62,hy3lh6f8.org,37,0,,2,0,0,0,4,0,0,0,5,0,2,171965,1,0,1,0,0,0,0,1,1,0,0,0,1
43,czbme5s7ihvw9v.biz,13,0,,2,1,0,21,1,1,0,0,1,1,2,72527,1,78,0,0,0,2,0,1,1,0,0,0,1
14,ox6d1xb.biz,26,0,,2,0,0,0,7,0,0,0,2,1,1837,23,1,83,0,1,0,0,0,0,0,0,0,0,0
14,1cmpix3zmsb5iy.com,22,0,,2,1,0,0,0,0,0,0,1,1,2,23,1,4,0,1,0,0,0,1,0,0,1,0,1
14,9hvil3m1hu26sb.org,16,0,,3,0,0,42,0,0,0,0,2,1,2606,246386,1,7,0,0,0,0,0,0,0,0,0,0,1
56,rb7cg97.org,18,0,,2,0,0,2,0,0,0,1,1,1,1584,23,1,54,0,0,0,11,0,0,0,0,0,0,1
126,b1m0g.net,36,0,,2,1,0,9,1,0,0,0,2,0,2260,122790,1,0,0,1,2,0,0,1,0,1,0,0,1
14,xkzghktvh.biz,9,0,,3,2,0,5,0,0,0,0,1,1,1203,323789,1,0,1,0,0,0,0,1,0,1,1,0,1
71,i1tbgbkig7.biz,21,0,,2,0,0,13,8,0,0,0,1,1,2035,23,1,0,1,0,2,0,1,0,0,0,1,0,1
71,4bzy13r.net,18,0,,2,1,0,30,11,0,0,0,1,0,3857,23,1,100,1,0,1,4,0,0,0,0,0,0,0
41,tahky.com,39,0,,2,1,0,25,0,0,0,0,1,1,2,23,1,31,1,1,0,9,0,0,0,1,0,1,1
14,c2mq5bxzh07bb.info,20,0,,2,1,0,0,0,0,0,0,3,1,7375,23,1,76,1,0,0,0,0,0,0,0,0,0,0
14,h2zloppxkh.xyz,18,0,,2,2,0,40,8,0,0,0,6,1,6100,195043,1,93,1,1,1,6,0,0,0,0,0,0,1
14,n7jeok82vw4rsv.xyz,31,0,,2,1,0,50,3,0,0,0,9,1,2028,23,1,16,1,0,3,12,0,1,0,0,0,0,1
30,67h94jyyb4l0s.biz,28,0,,3,1,0,35,1,0,0,0,2,1,2941,403541,0,87,1,1,0,1,1,0,0,0,0,0,0
42,9xohmd4k4icr8k.net,4,0,,3,0,0,28,0,0,0,0,1,1,3170,109236,0,64,0,0,0,0,0,0,0,0,0,0,0
62,699m1dewwq4wb.xyz,25,0,,3,1,0,20,15,0,0,0,1,1,2868,23,1,0,1,1,0,5,0,0,1,0,0,0,0
28,ix98w8.biz,4,0,,3,1,0,27,6,0,0,0,1,0,1151,23,1,100,0,0,0,2,0,0,1,1,0,0,1
14,fdiyzs7zx7myd6.org,5,0,,3,0,0,43,18,0,0,0,1,1,2670,23,1,82,1,1,0,4,0,0,1,0,0,0,0
14,gqjc569utlv.info,19,0,,3,0,0,50,5,0,0,0,8,1,1493,157119,1,96,0,0,1,3,0,1,0,0,0,0,0
30,kejsgs26oogq2e0.org,17,0,,3,0,0,0,2,0,0,0,6,1,3513,286938,1,85,1,1,0,4,0,1,0,0,0,0,0
45,2r9dem49e.xyz,21,0,,2,1,0,45,7,0,0,0,1,1,1957,23,1,74,0,1,0,4,0,0,0,0,0,0,0
82,ryj09lh.org,19,0,,3,1,0,21,10,0,0,0,5,1,4621,15758,1,0,0,0,1,0,0,1,0,0,0,1,0
104,jz7fayziyor1k.biz,16,0,,2,1,0,34,0,0,0,0,1,1,1481,44443,1,86,0,1,3,0,0,1,0,1,1,0,1
34,g01un73fvezwynh.com,28,0,,4,0,0,61,1,1,0,0,2,1,2,105342,1,92,1,1,1,0,0,1,0,0,0,0,0
14,akec5z6k.com,18,0,,2,0,0,0,13,0,0,0,5,0,2,137746,1,1,0,1,0,0,0,1,1,0,0,0,1
76,zdjerx.org,22,0,,3,0,0,32,1,0,0,0,1,1,1301,65499,1,0,1,1,0,0,0,1,0,0,0,0,0
121,0qp6qvcegkb.info,10,0,,2,2,0,0,0,0,0,0,1,1,2,23,1,100,0,0,0,6,0,0,1,0,1,0,1
14,fy5nujscq2lh.com,33,0,,3,0,0,0,0,0,0,0,1,1,2,119431,1,67,0,1,1,4,0,0,1,0,0,0,1
18,8x90z6e3jo.biz,9,0,,2,1,0,7,0,0,0,0,2,0,3992,23,1,100,1,1,0,6,0,0,0,0,0,0,0
30,qd1jdtkky.xyz,6,0,,2,2,0,26,11,0,0,0,4,1,895,216597,0,50,0,0,0,0,0,1,0,1,0,0,0
35,kw4wxvjz.xyz,22,0,,2,0,0,60,1,1,0,0,2,1,2,23,1,23,0,1,1,0,0,1,1,0,1,0,1
14,5e4s81gd46s1c.biz,24,0,,2,2,0,47,3,0,0,0,4,1,2,3645,1,83,0,0,0,0,0,0,0,0,1,0,1
14,0hvrpqoxu1rhkh.biz,35,0,,2,0,0,32,13,0,0,0,6,1,2349,37360,1,0,1,0,0,3,0,0,1,0,0,0,1
55,pftgdjugy8ohdj.xyz,33,0,,2,0,0,5,6,0,0,0,2,1,2,10251,1,100,1,0,0,6,0,1,1,0,0,0,0
30,zgej40lvsbvv.biz,14,0,,2,1,0,8,2,0,0,0,1,1,1653,172590,1,59,1,1,0,2,0,0,1,0,0,0,0
73,sjj7tbe0jotpw8y.biz,31,0,,2,1,0,11,1,0,0,0,2,1,3402,7759,1,76,0,1,3,2,0,0,1,0,0,0,0
53,foao8.xyz,26,0,,2,1,0,83,0,0,0,0,3,1,3292,150227,1,64,0,1,0,9,0,1,0,0,0,0,0
69,705via9.org,23,0,,2,0,0,0,5,0,0,0,1,1,5871,23,1,100,0,0,0,2,0,1,1,0,0,1,1
37,y294aexygvqrez.xyz,22,0,,2,0,0,48,0,0,0,0,1,1,2119,31925,1,0,0,0,0,0,0,0,1,0,1,0,1
58,oq9tyn.biz,21,0,,3,2,0,31,4,0,0,0,9,1,1134,19820,1,63,1,0,0,0,0,1,1,0,1,0,0
14,2246cry1pz1o.biz,20,0,,2,1,0,75,5,0,0,0,3,1,1338,23,1,0,0,0,0,3,0,1,0,0,0,0,0
52,j2nj1d2.com,13,0,,3,1,0,54,3,0,0,0,6,1,2,23,1,2,1,1,3,0,0,0,0,0,0,0,1
69,kmcqg5i7b9l.biz,19,0,,2,0,0,47,5,0,0,0,2,0,1992,371167,1,0,1,1,0,1,1,1,1,0,0,0,0
79,vaua4jdv4m3fkgo.net,27,0,,2,1,0,36,8,0,0,0,2,1,2,23,0,85,1,0,0,10,0,0,1,0,0,0,1
25,8qem9.net,29,0,,2,0,0,60,5,0,0,0,3,1,596,60481,1,100,1,0,0,0,0,0,0,0,1,0,1
55,u49irqi9.com,23,0,,2,1,0,17,8,0,0,0,1,0,2,23,1,25,1,1,0,0,0,1,1,0,0,0,1
79,5xbdn4l0lq.com,29,0,,2,2,0,51,2,0,0,0,1,1,2,39097,1,0,0,0,4,0,0,1,1,0,1,0,1
14,rze7joywnlegf.xyz,24,0,,2,1,0,0,0,0,0,0,7,1,1222,205974,1,34,0,1,0,3,0,1,0,0,1,0,1
22,hu5o3.xyz,10,0,,2,0,0,64,3,0,0,0,3,1,2,23,1,66,0,0,0,1,0,1,1,0,1,0,1
54,3m0jt.biz,10,0,,3,2,0,0,12,0,0,0,3,1,2,23,1,52,1,0,0,0,0,0,0,0,0,0,0
25,3gbv3a14k.org,11,0,,3,1,0,29,0,0,0,0,3,1,2546,324560,0,0,1,0,0,5,0,1,0,0,0,0,0
14,t0flbkk.info,22,0,,2,0,0,0,0,0,0,0,1,1,1927,82403,1,52,1,0,1,0,0,0,1,0,1,0,1
49,mgpiojy78yi.biz,44,0,,3,0,0,21,0,1,0,0,1,1,3453,23,1,94,1,1,1,5,0,1,0,0,1,0,1
19,bdbr68coq.info,12,0,,3,1,0,29,0,0,0,0,4,1,1754,184951,1,38,0,1,0,6,0,0,0,1,0,0,1
37,31qih.net,32,0,,2,0,0,0,9,0,0,0,4,1,633,23,1,68,1,0,0,7,0,0,0,0,0,0,1
14,ho9esgjsz1cs.info,18,0,,2,1,0,24,0,0,0,0,1,1,3138,69800,1,67,0,0,0,1,0,1,1,0,0,0,0
19,2bki8.info,37,0,,2,0,0,17,0,0,0,0,3,1,1359,23,1,93,1,1,1,0,0,1,0,0,0,0,0
44,vwbhoqzdng.com,7,0,,3,1,0,3,14,0,0,0,3,0,2211,23,1,71,1,1,0,10,0,1,0,0,0,0,1
32,3xd69376rrhzxm.info,12,0,,2,0,0,32,0,0,0,0,3,1,939,23,1,74,1,0,1,2,0,0,0,0,1,0,0
33,lqna0sc7os.com,23,0,,2,2,0,32,0,0,0,0,4,0,1325,76341,1,32,0,0,0,11,0,1,0,0,0,0,1
46,cu7nja376a.info,23,0,,3,0,0,25,2,0,0,0,7,1,6019,280264,1,100,1,0,1,3,0,0,1,0,0,0,0
72,cpt56dnr.info,21,0,,3,1,0,0,0,0,0,0,5,1,2,130850,1,100,0,0,0,2,0,1,0,0,1,0,1
27,didkr9h.org,16,0,,2,0,0,43,8,0,0,0,2,1,2,66066,1,1,1,0,2,8,0,1,0,0,0,0,1
34,3foe34.net,28,0,,2,1,0,6,1,0,0,0,2,1,5692,93820,1,0,1,0,1,0,0,0,0,0,0,0,1
37,zmopqjqjks957jy.biz,15,0,,3,1,0,16,0,0,0,0,12,1,2,61218,1,17,1,0,0,0,0,1,0,0,0,0,0
19,0p117vff.org,15,0,,3,0,0,35,17,0,0,0,4,1,1128,166443,1,51,1,0,0,4,0,1,0,0,0,0,0
14,mmwb5ntl.net,30,0,,2,1,0,0,0,0,0,0,1,0,2,23,1,0,1,0,0,0,0,0,0,0,1,0,1
63,qaz6fsp.xyz,10,0,,2,0,0,48,11,0,0,0,1,1,3321,23,1,57,0,1,0,3,0,1,1,0,0,0,1
14,4t3kjmvzg.biz,24,0,,2,1,0,63,0,0,0,0,2,1,2,23,1,26,1,0,0,0,0,1,1,0,1,0,1
55,e9jeoefcs.org,15,0,,2,0,0,39,2,0,0,0,4,0,3562,188684,1,15,1,0,0,6,0,0,1,0,0,0,0
28,8c7iqplrl.org,27,0,,2,0,0,41,1,0,0,0,1,1,2,466465,1,100,0,0,1,2,0,1,1,0,0,0,1
23,i5x8lbkc1fiuf.info,8,0,,2,0,0,40,0,0,0,0,6,0,4219,300462,1,0,1,0,0,0,0,0,0,0,0,0,1
46,5ly9irsb.net,27,0,,3,1,0,6,0,0,0,0,5,0,4551,173886,1,45,0,1,0,5,0,0,0,0,0,0,0
51,z627iewu.org,31,0,,2,1,0,32,0,0,0,0,2,1,1659,152595,0,0,1,0,2,2,0,0,1,0,1,0,1
14,223yghy.xyz,30,0,,3,1,0,13,2,0,0,0,1,1,2,411,1,64,0,0,0,12,0,1,0,0,0,0,1
34,qszcdh5ba2.org,23,0,,2,1,0,65,4,0,0,0,1,1,2991,42587,1,100,1,0,0,3,0,0,1,1,0,1,1
20,wxfrybnsr7.com,16,0,,2,1,0,10,0,1,0,0,1,1,2,826,1,100,0,1,0,3,0,0,0,1,1,0,1
14,hdbchyef41ga.info,21,0,,3,1,0,34,0,0,0,0,1,0,1907,9710,1,58,1,1,2,13,0,1,0,0,0,0,1
14,ro9qev30i.org,11,0,,2,1,0,5,0,0,0,0,7,0,749,23,1,92,1,0,0,0,0,0,0,0,0,0,0
64,saqqif.net,22,0,,2,1,0,27,0,0,0,0,1,1,2,23,1,100,1,1,0,5,0,1,0,0,0,0,1
65,8a6mpt1y5vk81.biz,25,0,,2,0,0,36,0,0,0,0,5,1,2,327833,1,93,1,0,0,0,0,0,0,0,0,0,0
14,mrv87iwnoqm4dn.com,35,0,,2,0,0,24,0,1,0,0,1,1,5327,23,0,92,1,0,0,1,0,1,0,0,0,0,1
31,7szawryr.xyz,16,0,,2,0,0,33,8,0,0,1,1,0,2,134670,1,0,0,0,4,9,1,0,0,0,0,0,1
14,54yn3bvm31n57as.com,23,0,,3,0,0,0,12,0,0,0,1,0,2,23,1,98,1,0,0,3,0,1,0,0,0,0,1
23,h1k1cu6.net,29,0,,3,1,0,13,1,0,0,0,1,1,4007,23,1,100,0,1,0,0,0,1,0,0,0,0,1
14,n1g297kr7.org,26,0,,2,0,0,42,0,0,0,0,6,1,2268,166408,1,100,1,1,0,5,0,1,0,0,0,0,1
80,abnhy3p3xk.info,29,0,,2,1,0,50,14,0,0,0,2,1,2,128084,1,0,1,0,0,0,0,0,0,1,0,0,1
14,zy6iobdugb1.xyz,17,0,,3,1,0,26,0,0,0,0,1,1,2,23,1,83,1,1,10,3,0,0,0,0,0,0,1
14,p38rj2nyqpjtgv.info,18,0,,3,1,0,74,9,0,0,1,1,1,2,227904,1,73,0,1,0,5,0,0,1,0,1,0,1
23,omsnl.net,26,0,,2,0,0,6,0,0,0,0,2,1,2617,98505,1,100,1,1,1,2,0,1,0,0,1,0,1
25,sxk6bzwacdxjjv.biz,22,0,,2,0,0,17,0,0,0,0,1,1,3073,23,1,87,1,0,0,2,0,0,1,0,0,0,0
101,8lx0bijxexv0z9.biz,33,0,,2,1,0,27,4,0,0,0,8,0,950,23,0,9,0,0,0,0,0,1,0,0,0,0,0
14,5sl1sv.xyz,20,0,,3,0,0,0,0,0,0,0,5,1,2,190562,1,43,1,0,1,3,0,0,1,0,0,0,0
84,o7ypm7np76yw6.xyz,36,0,,2,1,0,0,0,1,0,0,1,1,1512,23,1,91,1,0,0,0,0,0,0,0,0,0,0
52,krd8e6.biz,5,0,,3,1,0,35,12,0,0,0,1,0,3108,23,1,48,0,1,0,8,0,0,1,0,0,0,1
90,vkm0n7ti6rl.org,17,0,,3,1,0,7,1,0,0,0,1,1,2806,186813,1,35,1,1,0,5,0,1,1,0,0,0,1
44,fdszdbvv.biz,21,0,,2,1,0,12,0,0,0,0,2,1,214,23,1,26,1,0,0,0,0,1,1,0,1,0,0
14,aleoka.org,8,0,,3,0,0,15,10,1,0,0,1,1,393,23,1,8,1,1,0,5,0,1,1,0,0,1,0
14,nfihfxa0212.info,18,0,,2,0,0,5,21,1,0,0,2,1,3079,23,1,19,0,1,2,2,0,0,0,0,0,0,0
53,7ca2y7hpyvvc.com,19,0,,3,0,0,0,3,0,0,0,2,1,2,340684,1,57,1,1,0,9,0,0,1,0,0,0,1
14,ks8rdzgml6.biz,22,0,,2,0,0,18,0,0,0,0,1,1,504,23,0,3,0,1,0,3,0,1,1,0,1,0,1
115,ypeiy4yj.info,12,0,,3,1,0,0,5,0,0,0,3,0,3247,139935,1,34,0,0,1,3,0,0,1,0,0,0,1
14,50viv0c8.com,15,0,,2,1,0,32,0,0,0,0,3,1,2,23,1,92,0,0,0,1,0,1,1,0,1,0,0
14,lif3dqk.com,26,0,,2,0,0,38,10,0,0,0,5,1,4267,23,1,17,1,0,1,4,0,0,1,0,1,0,1
50,zvytl4plz.net,24,0,,2,2,0,51,0,0,0,0,1,1,2,23,1,34,1,0,0,2,0,1,0,1,0,0,0
35,lf39ei9h8kruu.org,15,0,,2,0,0,19,13,0,0,0,2,0,2,51913,1,28,1,0,0,8,0,0,1,0,0,0,1
19,r3avih5wt.xyz,5,0,,2,1,0,35,0,0,0,0,5,1,2509,23,1,0,1,0,2,0,0,1,0,1,0,0,1
84,xxvuwpa8.org,9,0,,2,1,0,42,0,0,0,0,1,1,1614,87008,1,59,0,0,0,6,0,0,0,0,0,0,1
37,xwti140v3tm.info,22,0,,2,0,0,29,2,0,0,1,8,1,856,23,1,71,1,1,3,5,0,0,1,0,0,0,0
71,gsinv37iagabd.xyz,7,0,,3,1,0,52,13,0,0,0,3,1,6887,23,1,100,1,1,0,0,0,0,1,0,0,0,1
20,fp5c8mljvjzh.biz,24,0,,2,1,0,28,3,0,0,0,1,1,2,23,1,42,1,1,1,7,0,1,1,1,0,0,1
70,60eu8fs.biz,47,0,,2,0,0,0,0,0,0,0,3,0,7646,23,0,13,0,1,0,1,0,1,1,0,1,0,1
42,aaia6etyatuslip.info,21,0,,2,0,0,39,0,0,0,0,4,1,1030,23,1,26,1,0,0,0,0,0,0,0,0,0,0
14,9wwghxnx2p7y.com,22,0,,3,0,0,8,0,0,0,0,4,0,36,249103,1,0,0,0,1,3,0,1,1,1,1,0,0
14,xq313dpx50.com,29,0,,2,1,0,33,0,0,0,0,3,1,2,263578,0,48,0,1,0,7,0,1,1,0,0,0,1
73,ft3of7do1q0im.xyz,21,0,,2,1,0,12,2,0,0,0,3,1,651,23,1,48,1,1,0,6,0,1,0,0,0,0,1
35,2yxv0kubf.org,34,0,,3,2,0,24,6,0,0,0,2,1,3177,23,1,55,1,1,1,2,0,1,0,0,0,0,1
73,cbbsfb5u.com,19,0,,3,1,0,29,0,0,0,0,2,1,228,226903,1,100,0,0,3,0,0,1,0,0,0,0,1
59,u58un7hkiptx.com,28,0,,2,0,0,29,0,0,0,0,1,1,2,259123,1,50,1,1,1,0,0,0,0,0,0,0,1
14,x5ahj5ror.xyz,16,0,,2,0,0,11,2,0,0,0,2,0,2,51714,1,27,0,1,0,1,0,0,1,0,0,0,0
14,o6762ffc1bk.com,30,0,,2,1,0,3,6,0,0,0,2,1,3184,23,1,36,0,1,0,1,0,1,0,0,0,0,0
31,q5nsr5gstqha7z.com,21,0,,2,0,0,11,0,0,0,0,4,1,777,728,1,63,1,1,1,4,0,0,0,0,1,0,1
40,bmnhwccuhxp5a8.info,39,0,,3,1,0,29,2,0,0,0,5,1,6347,23,1,6,1,1,3,0,0,1,1,0,0,1,0
14,qhz74jvzsaia.xyz,23,0,,2,1,0,8,0,0,0,0,1,1,2795,54132,1,12,1,0,1,0,0,1,0,1,1,0,1
52,d8fnl9vw1qaapwa.org,14,0,,2,0,0,8,0,0,0,0,1,0,2,134772,1,100,1,0,0,2,0,1,1,0,0,0,1
27,siqdabqg9f1bs.org,29,0,,2,1,0,23,0,0,0,0,4,1,1375,151950,1,0,1,1,0,6,0,0,0,0,0,0,0
14,jfcsyduk1h2.net,9,0,,2,2,0,14,15,0,0,0,3,1,2,23,1,29,0,0,0,4,0,0,0,0,0,0,0
43,ry0xm0qoldwtyo.org,19,0,,2,1,0,0,2,0,0,0,1,1,3895,278859,1,18,1,0,0,1,0,0,0,1,0,0,1
14,87y6zz.info,7,0,,2,1,0,52,13,0,0,0,4,1,2,23,1,83,0,0,0,2,0,1,0,0,0,0,0
14,9c6aunj5pqn7aeu.xyz,6,0,,2,0,0,5,13,0,0,0,3,0,5155,23,1,84,1,1,2,1,1,1,0,0,0,0,1
88,twa02icdpu.com,25,0,,2,0,0,50,0,0,0,0,4,1,11,130445,0,13,0,1,0,0,0,1,1,0,0,0,1
14,i9rlen2af9iwm.org,18,0,,2,2,0,46,1,0,0,0,4,1,5152,134289,1,65,0,0,0,1,0,1,0,0,0,0,1
14,phoc499g.net,23,0,,2,0,0,51,11,0,0,0,2,0,2289,23,1,100,0,0,1,1,0,0,0,1,0,0,1
63,lllodd4rpgheni.net,35,0,,2,2,0,54,9,0,0,0,6,0,2,23,1,5,1,1,1,7,0,1,1,0,1,0,1
43,vagtwn26qbay.com,8,0,,4,1,0,13,0,0,0,1,1,1,4722,304666,1,0,1,0,1,0,0,1,1,0,0,0,0
15,xztsr4p53m4.com,27,0,,2,1,0,0,0,0,0,0,1,1,2,23,0,68,1,1,0,2,0,0,1,0,0,0,1
100,8uacgqsd.org,8,0,,2,1,0,13,1,0,0,0,4,1,2,225198,0,79,1,1,4,7,1,1,1,0,1,0,1
